UTC,Date,Local,Away,Home,Venue,TZ,Description
2023-02-24T18:05:00+00:00,2023-02-24,01:05 PM,Northeastern Huskies,Boston Red Sox,JetBlue Park,US/Eastern,Exhibition
2023-02-24T20:05:00+00:00,2023-02-24,01:05 PM,Texas Rangers,Kansas City Royals,Surprise Stadium,US/Arizona,Spring Training
2023-02-24T20:10:00+00:00,2023-02-24,01:10 PM,Seattle Mariners,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-02-25T18:05:00+00:00,2023-02-25,01:05 PM,New York Mets,Houston Astros,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-02-25T18:05:00+00:00,2023-02-25,01:05 PM,Washington Nationals,St. Louis Cardinals,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-02-25T18:05:00+00:00,2023-02-25,01:05 PM,Toronto Blue Jays,Pittsburgh Pirates,LECOM Park,US/Eastern,Spring Training
2023-02-25T18:05:00+00:00,2023-02-25,01:05 PM,Minnesota Twins,Baltimore Orioles,Ed Smith Stadium,US/Eastern,Spring Training
2023-02-25T18:05:00+00:00,2023-02-25,01:05 PM,Tampa Bay Rays,Minnesota Twins,Hammond Stadium,US/Eastern,Spring Training
2023-02-25T18:05:00+00:00,2023-02-25,01:05 PM,Philadelphia Phillies,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-02-25T18:05:00+00:00,2023-02-25,01:05 PM,Boston Red Sox,Atlanta Braves,CoolToday Park,US/Eastern,Spring Training
2023-02-25T18:05:00+00:00,2023-02-25,01:05 PM,New York Yankees,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
2023-02-25T20:05:00+00:00,2023-02-25,01:05 PM,Cleveland Guardians,Cincinnati Reds,Goodyear Ballpark,US/Arizona,Spring Training
2023-02-25T20:05:00+00:00,2023-02-25,01:05 PM,Arizona Diamondbacks,Oakland Athletics,Hohokam Stadium,US/Arizona,Spring Training
2023-02-25T20:05:00+00:00,2023-02-25,01:05 PM,San Francisco Giants,Chicago Cubs,Sloan Park,US/Arizona,Spring Training
2023-02-25T20:05:00+00:00,2023-02-25,01:05 PM,Kansas City Royals,Texas Rangers,Surprise Stadium,US/Arizona,Spring Training
2023-02-25T20:05:00+00:00,2023-02-25,01:05 PM,San Diego Padres,Chicago White Sox,Camelback Ranch,US/Arizona,Spring Training
2023-02-25T20:10:00+00:00,2023-02-25,01:10 PM,Colorado Rockies,Arizona Diamondbacks,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-02-25T20:10:00+00:00,2023-02-25,01:10 PM,Los Angeles Angels,Seattle Mariners,Peoria Stadium,US/Arizona,Spring Training
2023-02-25T20:10:00+00:00,2023-02-25,01:10 PM,Los Angeles Dodgers,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
2023-02-25T23:10:00+00:00,2023-02-25,06:10 PM,Miami Marlins,New York Mets,Clover Park,US/Eastern,Spring Training
2023-02-26T18:05:00+00:00,2023-02-26,01:05 PM,Baltimore Orioles,Detroit Tigers,Publix Field at Joker Marchant Stadium,US/Eastern,Spring Training
2023-02-26T18:05:00+00:00,2023-02-26,01:05 PM,Houston Astros,Washington Nationals,The Ballpark of the Palm Beaches,US/Eastern,Spring Training
2023-02-26T18:05:00+00:00,2023-02-26,01:05 PM,Tampa Bay Rays,Boston Red Sox,JetBlue Park,US/Eastern,Spring Training
2023-02-26T18:05:00+00:00,2023-02-26,01:05 PM,Minnesota Twins,Philadelphia Phillies,BayCare Ballpark,US/Eastern,Spring Training
2023-02-26T18:05:00+00:00,2023-02-26,01:05 PM,Atlanta Braves,New York Yankees,George M. Steinbrenner Field,US/Eastern,Spring Training
2023-02-26T18:07:00+00:00,2023-02-26,01:07 PM,New York Yankees,Toronto Blue Jays,TD Ballpark,US/Eastern,Spring Training
2023-02-26T18:10:00+00:00,2023-02-26,01:10 PM,Washington Nationals,New York Mets,Clover Park,US/Eastern,Spring Training
2023-02-26T18:10:00+00:00,2023-02-26,01:10 PM,St. Louis Cardinals,Miami Marlins,Roger Dean Chevrolet Stadium,US/Eastern,Spring Training
2023-02-26T20:05:00+00:00,2023-02-26,01:05 PM,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,US/Arizona,Spring Training
2023-02-26T20:05:00+00:00,2023-02-26,01:05 PM,Seattle Mariners,Kansas City Royals,Surprise Stadium,US/Arizona,Spring Training
2023-02-26T20:05:00+00:00,2023-02-26,01:05 PM,Cincinnati Reds,San Francisco Giants,Scottsdale Stadium,US/Arizona,Spring Training
2023-02-26T20:05:00+00:00,2023-02-26,01:05 PM,Texas Rangers,Cleveland Guardians,Goodyear Ballpark,US/Arizona,Spring Training
2023-02-26T20:10:00+00:00,2023-02-26,01:10 PM,Arizona Diamondbacks,San Diego Padres,Peoria Stadium,US/Arizona,Spring Training
2023-02-26T20:10:00+00:00,2023-02-26,01:10 PM,Chicago White Sox,Los Angeles Angels,Tempe Diablo Stadium,US/Arizona,Spring Training
2023-02-26T20:10:00+00:00,2023-02-26,01:10 PM,Milwaukee Brewers,Colorado Rockies,Salt River Fields at Talking Stick,US/Arizona,Spring Training
2023-02-26T20:10:00+00:00,2023-02-26,01:10 PM,Oakland Athletics,Milwaukee Brewers,American Family Fields of Phoenix,US/Arizona,Spring Training
